name,description,category,wikipedia_link
Amateur radio,Operating radio equipment for communication and experimentation,Indoors,https://en.wikipedia.org/wiki/Amateur_radio
Audiophilia,High-fidelity sound reproduction and audio equipment appreciation,Indoors,https://en.wikipedia.org/wiki/Audiophilia
Aquarium keeping,Maintaining and caring for fish and aquatic life in tanks,Indoors,https://en.wikipedia.org/wiki/Aquarium
Baking,Creating breads, pastries, and desserts from scratch,Indoors,https://en.wikipedia.org/wiki/Baking
Baton twirling,Performing rhythmic gymnastics with a baton,Indoors,https://en.wikipedia.org/wiki/Baton_twirling
Basket weaving,Crafting containers and decorative items from natural materials,Indoors,https://en.wikipedia.org/wiki/Basket_weaving
Bonsai,Cultivating miniature trees in containers,Indoors,https://en.wikipedia.org/wiki/Bonsai
Computer programming,Writing code to create software and applications,Indoors,https://en.wikipedia.org/wiki/Computer_programming
Cooking,Preparing and experimenting with various cuisines and recipes,Indoors,https://en.wikipedia.org/wiki/Cooking
Creative writing,Composing stories, poems, and other literary works,Indoors,https://en.wikipedia.org/wiki/Creative_writing
Crocheting,Crafting fabric using yarn and a hooked needle,Indoors,https://en.wikipedia.org/wiki/Crochet
Dance,Performing rhythmic movements to music,Indoors,https://en.wikipedia.org/wiki/Dance
Drawing,Creating visual art with pencils, pens, or digital tools,Indoors,https://en.wikipedia.org/wiki/Drawing
Embroidery,Decorating fabric with needle and thread designs,Indoors,https://en.wikipedia.org/wiki/Embroidery
Basketball,Playing the team sport with a ball and hoop,Indoors,https://en.wikipedia.org/wiki/Basketball
Gardening,Cultivating plants and maintaining outdoor spaces,Indoors,https://en.wikipedia.org/wiki/Gardening
Genealogy,Researching family history and ancestry,Indoors,https://en.wikipedia.org/wiki/Genealogy
Jewelry making,Crafting decorative accessories from various materials,Indoors,https://en.wikipedia.org/wiki/Jewelry
Knapping,Shaping stone tools and arrowheads,Indoors,https://en.wikipedia.org/wiki/Knapping
Lapidary,Cutting and polishing gemstones and minerals,Indoors,https://en.wikipedia.org/wiki/Lapidary
Locksport,Picking locks and studying lock mechanisms,Indoors,https://en.wikipedia.org/wiki/Locksport
Musical instruments,Learning to play various musical instruments,Indoors,https://en.wikipedia.org/wiki/Musical_instrument
Painting,Creating artwork with brushes and various mediums,Indoors,https://en.wikipedia.org/wiki/Painting
Punch needle rug making,Crafting rugs using a punch needle technique,Indoors,https://en.wikipedia.org/wiki/Punch_needle
Knitting,Creating fabric by interlocking loops of yarn,Indoors,https://en.wikipedia.org/wiki/Knitting
Reading,Exploring books, articles, and written content,Indoors,https://en.wikipedia.org/wiki/Reading
Scrapbooking,Preserving memories in decorative albums,Indoors,https://en.wikipedia.org/wiki/Scrapbooking
Sculpting,Creating three-dimensional artwork from various materials,Indoors,https://en.wikipedia.org/wiki/Sculpture
Sewing,Joining fabric pieces with needle and thread,Indoors,https://en.wikipedia.org/wiki/Sewing
Singing,Producing musical sounds with the voice,Indoors,https://en.wikipedia.org/wiki/Singing
Sleeping,Resting and rejuvenating the body,Indoors,https://en.wikipedia.org/wiki/Sleep
Watching movies,Viewing films for entertainment and cultural appreciation,Indoors,https://en.wikipedia.org/wiki/Film
Watching television,Viewing broadcast content for entertainment,Indoors,https://en.wikipedia.org/wiki/Television
Videogames,Playing interactive digital games,Indoors,https://en.wikipedia.org/wiki/Video_game
Woodworking,Crafting objects from wood using various tools,Indoors,https://en.wikipedia.org/wiki/Woodworking
Origami,Folding paper into decorative shapes and figures,Indoors,https://en.wikipedia.org/wiki/Origami
Air sports,Participating in aviation activities like skydiving and paragliding,Outdoors,https://en.wikipedia.org/wiki/Air_sports
Board sports,Riding skateboards, snowboards, and similar equipment,Outdoors,https://en.wikipedia.org/wiki/Board_sport
Cycling,Riding bicycles for recreation and transportation,Outdoors,https://en.wikipedia.org/wiki/Cycling
Freerunning,Moving through urban environments with acrobatic movements,Outdoors,https://en.wikipedia.org/wiki/Freerunning
Hunting,Tracking and pursuing wild animals for sport or food,Outdoors,https://en.wikipedia.org/wiki/Hunting
Hiking,Exploring trails and natural areas on foot,Outdoors,https://en.wikipedia.org/wiki/Hiking
Jogging,Running at a slow, steady pace for exercise,Outdoors,https://en.wikipedia.org/wiki/Jogging
Kite flying,Controlling kites in the wind for recreation,Outdoors,https://en.wikipedia.org/wiki/Kite
Kayaking,Paddling small boats through water,Outdoors,https://en.wikipedia.org/wiki/Kayaking
Motor sports,Racing vehicles on tracks or off-road,Outdoors,https://en.wikipedia.org/wiki/Motorsport
Mountain biking,Riding bicycles on rough terrain and trails,Outdoors,https://en.wikipedia.org/wiki/Mountain_biking
Parkour,Navigating obstacles with efficient movement techniques,Outdoors,https://en.wikipedia.org/wiki/Parkour
Playing with a pet,Interacting and exercising with companion animals,Outdoors,https://en.wikipedia.org/wiki/Pet
Photography,Capturing images with cameras,Outdoors,https://en.wikipedia.org/wiki/Photography
Rock climbing,Ascending rock faces using hands and feet,Outdoors,https://en.wikipedia.org/wiki/Rock_climbing
Running,Moving quickly on foot for exercise or sport,Outdoors,https://en.wikipedia.org/wiki/Running
Sailing,Navigating boats using wind power,Outdoors,https://en.wikipedia.org/wiki/Sailing
Sand castle building,Creating structures from sand at beaches,Outdoors,https://en.wikipedia.org/wiki/Sand_art_and_play
Sculling or Rowing,Propelling boats with oars,Outdoors,https://en.wikipedia.org/wiki/Rowing
Skating,Gliding on ice or wheels for recreation,Outdoors,https://en.wikipedia.org/wiki/Skating
Surfing,Riding waves on a surfboard,Outdoors,https://en.wikipedia.org/wiki/Surfing
Swimming,Moving through water using various strokes,Outdoors,https://en.wikipedia.org/wiki/Swimming
Tai chi chuan,Practicing slow, meditative martial arts movements,Outdoors,https://en.wikipedia.org/wiki/Tai_chi
Conservation and restoration of road vehicles,Maintaining and restoring classic automobiles,Outdoors,https://en.wikipedia.org/wiki/Vehicle_restoration
Water sports,Participating in various aquatic activities,Outdoors,https://en.wikipedia.org/wiki/Water_sport
Yoga,Practicing physical and mental exercises for wellness,Outdoors,https://en.wikipedia.org/wiki/Yoga
Antiquing,Collecting and studying old, valuable objects,Collections,https://en.wikipedia.org/wiki/Antique
Art collecting,Acquiring and displaying works of art,Collections,https://en.wikipedia.org/wiki/Art_collecting
Coin collecting,Gathering and studying coins from different periods,Collections,https://en.wikipedia.org/wiki/Coin_collecting
Element collecting,Collecting samples of chemical elements,Collections,https://en.wikipedia.org/wiki/Element_collecting
Stamp collecting,Gathering postage stamps from various countries,Collections,https://en.wikipedia.org/wiki/Stamp_collecting
Vintage books,Collecting old and rare books,Collections,
Vintage clothing,Acquiring and preserving old fashion items,Collections,https://en.wikipedia.org/wiki/Vintage_clothing
Record collecting,Gathering vinyl records and other music formats,Collections,https://en.wikipedia.org/wiki/Record_collecting
Trading Cards collecting,Acquiring collectible cards from various series,Collections,https://en.wikipedia.org/wiki/Trading_card
Bread tag collecting,Gathering plastic bread bag closures,Collections,
Crayon collecting,Acquiring crayons from different brands and eras,Collections,https://en.wikipedia.org/wiki/Crayon
Antiquities,Collecting ancient artifacts and historical objects,Collections,https://en.wikipedia.org/wiki/Antiquities
Auto audiophilia,Installing and upgrading car audio systems,Collections,https://en.wikipedia.org/wiki/Car_audio
Fossil hunting,Searching for and collecting prehistoric remains,Collections,https://en.wikipedia.org/wiki/Fossil_hunting
Insect collecting,Gathering and preserving insect specimens,Collections,https://en.wikipedia.org/wiki/Insect_collecting
Leaf collecting and pressing,Preserving leaves from various plants,Collections,https://en.wikipedia.org/wiki/Leaf
Metal detecting,Using devices to find buried metal objects,Collections,https://en.wikipedia.org/wiki/Metal_detector
Mineral collecting,Gathering rocks and mineral specimens,Collections,https://en.wikipedia.org/wiki/Mineral_collecting
Petal collecting and pressing,Preserving flower petals for display,Collections,https://en.wikipedia.org/wiki/Petal
Rock collecting,Gathering interesting stones and geological specimens,Collections,https://en.wikipedia.org/wiki/Rock_(geology)
Seaglass collecting,Finding and collecting weathered glass from beaches,Collections,https://en.wikipedia.org/wiki/Seaglass
Seashell collecting,Gathering shells from beaches and coastal areas,Collections,https://en.wikipedia.org/wiki/Seashell
Wrestling,Grappling sport with various styles and techniques,Competitive,https://en.wikipedia.org/wiki/Wrestling
Bowling,Rolling balls to knock down pins,Competitive,https://en.wikipedia.org/wiki/Bowling
Boxing,Combat sport using fists with protective gear,Competitive,https://en.wikipedia.org/wiki/Boxing
Chess,Strategic board game for two players,Competitive,https://en.wikipedia.org/wiki/Chess
Cheerleading,Performing organized cheers and routines,Competitive,https://en.wikipedia.org/wiki/Cheerleading
Cubing,Solving Rubik's cubes and similar puzzles,Competitive,https://en.wikipedia.org/wiki/Combination_puzzle
Bridge,Strategic card game for four players,Competitive,https://en.wikipedia.org/wiki/Contract_bridge
Billiards,Playing cue sports on felt-covered tables,Competitive,https://en.wikipedia.org/wiki/Cue_sports
Darts,Throwing small missiles at circular targets,Competitive,https://en.wikipedia.org/wiki/Darts
Fencing,Combat sport using swords,Competitive,https://en.wikipedia.org/wiki/Fencing
Gaming,Playing video games competitively,Competitive,https://en.wikipedia.org/wiki/Gaming
Handball,Team sport played with hands and a ball,Competitive,https://en.wikipedia.org/wiki/Team_handball
Martial arts,Practicing combat and self-defense techniques,Competitive,https://en.wikipedia.org/wiki/Martial_arts
Table football,Playing soccer on a tabletop game,Competitive,https://en.wikipedia.org/wiki/Table_football
Airsoft,Simulated combat using replica firearms,Competitive,https://en.wikipedia.org/wiki/Airsoft
American football,Team sport with oval ball and protective gear,Competitive,https://en.wikipedia.org/wiki/American_football
Archery,Shooting arrows with bows at targets,Competitive,https://en.wikipedia.org/wiki/Archery
Association football,Team sport played with feet and a round ball,Competitive,https://en.wikipedia.org/wiki/Association_football
Auto racing,Competitive driving of vehicles on tracks,Competitive,https://en.wikipedia.org/wiki/Auto_racing
Badminton,Racket sport played with shuttlecocks,Competitive,https://en.wikipedia.org/wiki/Badminton
Baseball,Bat and ball team sport with nine innings,Competitive,https://en.wikipedia.org/wiki/Baseball
Basketball,Team sport with hoops and a round ball,Competitive,https://en.wikipedia.org/wiki/Basketball
Climbing,Ascending rock faces or artificial walls,Competitive,
Cricket,Bat and ball team sport popular in Commonwealth countries,Competitive,https://en.wikipedia.org/wiki/Cricket
Cycling,Racing bicycles on roads or tracks,Competitive,https://en.wikipedia.org/wiki/Cycling
Disc golf,Throwing frisbees at targets in outdoor courses,Competitive,https://en.wikipedia.org/wiki/Disc_golf
Equestrianism,Horse riding and equestrian sports,Competitive,https://en.wikipedia.org/wiki/Equestrianism
Figure skating,Performing artistic movements on ice,Competitive,https://en.wikipedia.org/wiki/Figure_skating
Fishing,Catching fish using various methods,Competitive,https://en.wikipedia.org/wiki/Fishing
Foot-bag,Kicking a small beanbag in various patterns,Competitive,
Golfing,Hitting balls into holes with clubs,Competitive,https://en.wikipedia.org/wiki/Golf
Gymnastics,Performing acrobatic and artistic movements,Competitive,https://en.wikipedia.org/wiki/Gymnastics
Ice hockey,Team sport played on ice with sticks and puck,Competitive,https://en.wikipedia.org/wiki/Ice_hockey
Kart racing,Competitive driving of small racing vehicles,Competitive,https://en.wikipedia.org/wiki/Kart_racing
Netball,Team sport similar to basketball with different rules,Competitive,https://en.wikipedia.org/wiki/Netball
Paintball,Combat simulation using paint-filled projectiles,Competitive,https://en.wikipedia.org/wiki/Paintball
Racquetball,Racket sport played in enclosed courts,Competitive,
Rugby league football,Team sport with oval ball and tackling,Competitive,https://en.wikipedia.org/wiki/Rugby_league
Running,Racing on foot over various distances,Competitive,https://en.wikipedia.org/wiki/Running
Shooting,Firing firearms at targets,Competitive,https://en.wikipedia.org/wiki/Shooting
Squash,Racket sport played in enclosed courts,Competitive,https://en.wikipedia.org/wiki/Squash_(sport)
Surfing,Riding waves on surfboards competitively,Competitive,https://en.wikipedia.org/wiki/Surfing
Swimming,Racing through water using various strokes,Competitive,https://en.wikipedia.org/wiki/Swimming
Table tennis,Fast-paced racket sport on small tables,Competitive,https://en.wikipedia.org/wiki/Table_tennis
Tennis,Racket sport played on courts,Competitive,https://en.wikipedia.org/wiki/Tennis
Volleyball,Team sport played with hands over a net,Competitive,https://en.wikipedia.org/wiki/Volleyball
Microscopy,Examining objects under microscopes,Observational,https://en.wikipedia.org/wiki/Microscopy
Reading,Studying written materials for knowledge,Observational,https://en.wikipedia.org/wiki/Reading_(process)
Shortwave radios,Listening to international radio broadcasts,Observational,
Amateur astronomy,Observing celestial objects and phenomena,Observational,https://en.wikipedia.org/wiki/Amateur_astronomy
Amateur geology,Studying rocks, minerals, and earth processes,Observational,https://en.wikipedia.org/wiki/Amateur_geology
Bird watching,Observing and identifying wild birds,Observational,https://en.wikipedia.org/wiki/Birdwatching
College football,Watching American football at university level,Observational,https://en.wikipedia.org/wiki/College_football
Geocaching,Treasure hunting using GPS coordinates,Observational,https://en.wikipedia.org/wiki/Geocaching
Meteorology,Studying weather patterns and atmospheric conditions,Observational,https://en.wikipedia.org/wiki/Meteorology
Parkour,Observing and practicing efficient movement techniques,Observational,https://en.wikipedia.org/wiki/Parkour
People watching,Observing human behavior in public spaces,Observational,https://en.wikipedia.org/wiki/People_watching
Travel,Exploring new places and cultures,Observational,https://en.wikipedia.org/wiki/Travel
